Date,City,State,Fatalities,Wounded
1/7/2013,Fort Myers,Florida,1,No Info
1/7/2013,Fort Myers,Florida,1,0.0
1/10/2013,Taft,California,0,No Info
1/10/2013,Taft,California,0,2.0
1/12/2013,Detroit,Michigan,0,1.0
1/15/2013,Hazard,Kentucky,3,No Info
1/15/2013,St. Louis,Missouri,0,No Info
1/15/2013,St. Louis,Missouri,0,2.0
1/15/2013,Hazard,Kentucky,3,0.0
1/16/2013,Chicago,Illinois,0,No Info
1/16/2013,Chicago,Illinois,1,0.0
1/22/2013,Houston,Texas,0,No Info
1/22/2013,Houston,Texas,0,3.0
1/31/2013,Phoenix,Arizona,0,No Info
1/31/2013,Atlanta,Georgia,0,No Info
1/31/2013,Phoenix,Arizona,0,0.0
1/31/2013,Atlanta,Georgia,0,2.0
3/18/2013,Orlando,Florida,1,No Info
3/18/2013,Orlando,Florida,1,0.0
4/12/2013,Christiansburg,Virginia,0,No Info
4/12/2013,Dublin,Virginia,0,2.0
4/16/2013,Grambling,Louisiana,0,No Info
4/16/2013,Grambling,Louisiana,0,3.0
4/18/2013,Cambridge,Massachusetts,2,No Info
4/18/2013,Cambridge,Massachusetts,2,1.0
5/14/2013,Birmingham,Alabama,0,No Info
5/14/2013,Birmingham,Alabama,0,0.0
6/7/2013,Santa Monica,California,6,No Info
6/7/2013,Santa Monica,California,6,4.0
6/20/2013,West Palm Beach,Florida,2,No Info
8/20/2013,Decatur,Georgia,0,No Info
8/20/2013,Decatur,Georgia,0,0.0
8/23/2013,Sardis,Mississippi,1,No Info
8/23/2013,Sardis,Mississippi,1,2.0
8/30/2013,Winston-Salem,North Carolina,0,No Info
8/30/2013,Winston-Salem,North Carolina,0,1.0
10/4/2013,Pine Hills,Florida,0,No Info
10/4/2013,Pine Hills,Florida,0,2.0
10/21/2013,Sparks,Nevada,2,No Info
10/21/2013,Sparks,Nevada,2,2.0
11/2/2013,Greensboro,North Carolina,0,No Info
11/2/2013,Greensboro,North Carolina,0,1.0
11/3/2013,Lithonia,Georgia,0,No Info
11/3/2013,Lithonia,Georgia,0,2.0
11/13/2013,Pittsburgh,Pennsylvania,0,No Info
11/13/2013,Pittsburgh,Pennsylvania,0,3.0
12/4/2013,Winter Garden,Florida,0,No Info
12/4/2013,Winter Garden,Florida,0,1.0
12/13/2013,Centennial,Colorado,2,No Info
12/13/2013,Centennial,Colorado,2,0.0
12/19/2013,Fresno,California,0,No Info
12/19/2013,Fresno,California,0,1.0
1/9/2014,Jackson,Tennessee,0,1.0
1/13/2014,New Haven,Connecticut,0,1.0
1/14/2014,Roswell,New Mexico,0,3.0
1/17/2014,Philadelphia,Pennsylvania,0,2.0
1/20/2014,Chester,Pennsylvania,0,1.0
1/21/2014,West Lafayette,Indiana,1,0.0
1/24/2014,Orangeburg,South Carolina,1,0.0
1/25/2014,Los Angeles,California,1,0.0
1/27/2014,Carbondale,Illinois,0,1.0
1/28/2014,Nashville,Tennessee,0,1.0
1/30/2014,Palm Bay,Florida,0,1.0
1/31/2014,Des Moines,Iowa,0,1.0
2/10/2014,Salisbury,North Carolina,0,1.0
2/10/2014,Lyndhurst,Ohio,0,0.0
2/12/2014,Los Angeles,California,0,1.0
2/22/2014,Augusta,Georgia,0,1.0
3/12/2014,Miami,Florida,1,0.0
3/25/2014,College Park,Georgia,0,0.0
4/9/2014,Greenville,North Carolina,0,0.0
4/11/2014,Detroit,Michigan,1,0.0
5/4/2014,Augusta,Georgia,0,1.0
5/5/2014,Augusta,Georgia,0,1.0
5/8/2014,Lawrenceville,Georgia,0,1.0
5/14/2014,Richmond,California,0,1.0
6/5/2014,Seattle,Washington,1,2.0
6/10/2014,Troutdale,Oregon,2,1.0
9/9/2014,Miami,Florida,0,1.0
9/27/2014,Terre Haute,Indiana,0,1.0
9/30/2014,Albemarle,North Carolina,0,1.0
